Time (s),Temperature (K),Mass (mg)
0,313.052,5.3818
2.4,313.062,5.3816
4.8,313.059,5.3815
7.2,313.043,5.3815
9.6,313.054,5.3815
12,313.055,5.3815
14.4,313.067,5.3815
16.8,313.053,5.3815
19.2,313.063,5.3815
21.6,313.071,5.3815
24,313.096,5.3815
26.4,313.096,5.3815
28.8,313.106,5.3815
31.2,313.115,5.3814
33.6,313.131,5.3803
36,313.134,5.3799
38.4,313.171,5.3804
40.8,313.189,5.3811
43.2,313.224,5.3803
45.6,313.241,5.3805
48,313.263,5.3806
50.4,313.303,5.3806
52.8,313.341,5.3806
55.2,313.372,5.3807
57.6,313.417,5.3809
60,313.46,5.3808
62.4,313.505,5.3806
64.8,313.58,5.3804
67.2,313.618,5.3805
69.6,313.67,5.3804
72,313.754,5.3805
74.4,313.818,5.3811
76.8,313.9,5.3816
79.2,313.976,5.3814
81.6,314.06,5.3809
84,314.156,5.38
86.4,314.23,5.3801
88.8,314.354,5.3802
91.2,314.437,5.38
93.6,314.548,5.38
96,314.655,5.3805
98.4,314.783,5.3802
100.8,314.897,5.3803
103.2,315.036,5.3803
105.6,315.144,5.3806
108,315.29,5.3814
110.4,315.442,5.3816
112.8,315.599,5.3806
115.2,315.747,5.3807
117.6,315.919,5.381
120,316.074,5.3812
122.4,316.246,5.3811
124.8,316.427,5.3814
127.2,316.608,5.3825
129.6,316.806,5.3814
132,316.995,5.3813
134.4,317.198,5.3813
136.8,317.418,5.3811
139.2,317.625,5.3816
141.6,317.862,5.3814
144,318.073,5.3813
146.4,318.315,5.3817
148.8,318.56,5.3822
151.2,318.797,5.3815
153.6,319.064,5.3811
156,319.311,5.3814
158.4,319.577,5.3817
160.8,319.843,5.3812
163.2,320.111,5.3818
165.6,320.413,5.3826
168,320.686,5.382
170.4,320.991,5.3818
172.8,321.285,5.3811
175.2,321.612,5.3814
177.6,321.913,5.3819
180,322.229,5.382
182.4,322.563,5.3816
184.8,322.889,5.3825
187.2,323.228,5.3824
189.6,323.556,5.3825
192,323.917,5.3823
194.4,324.273,5.3821
196.8,324.643,5.3822
199.2,324.997,5.3817
201.6,325.376,5.3807
204,325.734,5.3802
206.4,326.115,5.3802
208.8,326.491,5.38
211.2,326.887,5.381
213.6,327.3,5.3804
216,327.703,5.3794
218.4,328.111,5.379
220.8,328.514,5.3792
223.2,328.925,5.3793
225.6,329.348,5.3792
228,329.782,5.3793
230.4,330.218,5.379
232.8,330.635,5.3786
235.2,331.087,5.3783
237.6,331.522,5.3783
240,331.966,5.3778
242.4,332.425,5.3781
244.8,332.865,5.3774
247.2,333.339,5.3769
249.6,333.791,5.3767
252,334.264,5.3763
254.4,334.724,5.3758
256.8,335.205,5.3755
259.2,335.676,5.3757
261.6,336.161,5.3756
264,336.657,5.3756
266.4,337.137,5.3753
268.8,337.63,5.3755
271.2,338.116,5.3754
273.6,338.627,5.3752
276,339.116,5.3752
278.4,339.618,5.3745
280.8,340.125,5.3739
283.2,340.625,5.3739
285.6,341.145,5.3738
288,341.65,5.3737
290.4,342.181,5.3735
292.8,342.681,5.3733
295.2,343.198,5.3732
297.6,343.734,5.3731
300,344.246,5.373
302.4,344.768,5.3729
304.8,345.305,5.3727
307.2,345.822,5.3724
309.6,346.346,5.3719
312,346.869,5.3716
314.4,347.4,5.3715
316.8,347.925,5.3714
319.2,348.458,5.3712
321.6,348.993,5.3715
324,349.525,5.3721
326.4,350.059,5.3726
328.8,350.585,5.3728
331.2,351.129,5.3727
333.6,351.661,5.3723
336,352.195,5.3719
338.4,352.738,5.3715
340.8,353.274,5.3709
343.2,353.818,5.3704
345.6,354.362,5.3703
348,354.902,5.3704
350.4,355.437,5.3704
352.8,355.985,5.3704
355.2,356.532,5.3697
357.6,357.061,5.369
360,357.595,5.3684
362.4,358.152,5.3683
364.8,358.687,5.3684
367.2,359.249,5.3684
369.6,359.781,5.368
372,360.324,5.3676
374.4,360.868,5.3672
376.8,361.411,5.3668
379.2,361.948,5.3667
381.6,362.499,5.3667
384,363.047,5.3668
386.4,363.591,5.367
388.8,364.137,5.3671
391.2,364.679,5.3672
393.6,365.221,5.3677
396,365.772,5.3685
398.4,366.318,5.369
400.8,366.843,5.3693
403.2,367.382,5.3696
405.6,367.937,5.3698
408,368.469,5.3699
410.4,369.012,5.37
412.8,369.549,5.37
415.2,370.099,5.3698
417.6,370.653,5.3697
420,371.189,5.3696
422.4,371.723,5.3694
424.8,372.26,5.3693
427.2,372.809,5.3693
429.6,373.333,5.3691
432,373.884,5.3689
434.4,374.423,5.3687
436.8,374.948,5.3688
439.2,375.461,5.3688
441.6,375.999,5.3687
444,376.54,5.3687
446.4,377.066,5.3687
448.8,377.595,5.3687
451.2,378.119,5.3686
453.6,378.655,5.3686
456,379.168,5.3686
458.4,379.694,5.3685
460.8,380.225,5.3685
463.2,380.752,5.3685
465.6,381.249,5.3685
468,381.782,5.3685
470.4,382.298,5.3685
472.8,382.816,5.3685
475.2,383.325,5.3685
477.6,383.846,5.3685
480,384.363,5.3685
482.4,384.887,5.3685
484.8,385.398,5.3685
487.2,385.901,5.3685
489.6,386.399,5.3685
492,386.922,5.3685
494.4,387.432,5.3684
496.8,387.936,5.3683
499.2,388.431,5.3682
501.6,388.951,5.3682
504,389.443,5.3681
506.4,389.939,5.368
508.8,390.447,5.3679
511.2,390.957,5.3679
513.6,391.456,5.3678
516,391.972,5.3677
518.4,392.464,5.3676
520.8,392.953,5.3675
523.2,393.458,5.3675
525.6,393.947,5.3674
528,394.444,5.3673
530.4,394.93,5.3672
532.8,395.437,5.3671
535.2,395.929,5.3671
537.6,396.432,5.367
540,396.919,5.3669
542.4,397.4,5.3668
544.8,397.89,5.3667
547.2,398.378,5.3667
549.6,398.863,5.3666
552,399.367,5.3665
554.4,399.86,5.3665
556.8,400.327,5.3665
559.2,400.804,5.3665
561.6,401.303,5.3665
564,401.78499,5.3665
566.4,402.286,5.3665
568.8,402.771,5.3665
571.2,403.242,5.3665
573.6,403.725,5.3665
576,404.21599,5.3665
578.4,404.69201,5.3665
580.8,405.183,5.3665
583.2,405.641,5.3665
585.6,406.126,5.3665
588,406.603,5.3665
590.4,407.072,5.3665
592.8,407.54999,5.3665
595.2,408.02,5.3665
597.6,408.50699,5.3665
600,408.984,5.3665
602.4,409.46,5.3665
604.8,409.934,5.3665
607.2,410.40101,5.3665
609.6,410.87501,5.3665
